"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"1 family dwelling","5","2023-09-07T10:32:29.000","1","5","202309076074","R-3","2023-09-08T04:14:49.000","in kind repair of front stair.","Y","8000","Faxon","11","Av","","035","","2023-09-07T10:32:29.000","","","2","","6938","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-09-07T11:18:07.000","8","2023-09-07T00:00:00.000","94112","1677727214625","wood frame (5)","","N","8000","450","1 family dwelling","1","{""coordinates"":[-122.459911653,37.722776913],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T12:50:54.000","1","5","202309076109","R-3","2023-09-08T04:14:49.000","1st fl relocate bedrrm/laundry. add family rm, 2 baths, wetbar. 2nd fl reconfig interior layout. remodel kitchen, (revision to 202306139997) dining rm, liv rm, bath,bdrms,inter stair. add 8 skylights.rear deck/stairs.replace 6 windows at front with alum clad wood windows","Y","0","32nd","4","Av","","010","","2023-09-07T12:50:54.000","","","2","Y","2361","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T13:26:29.000","8","2023-09-07T00:00:00.000","94116","1677764132632","wood frame (5)","","N","250000","2367","1 family dwelling","1","{""coordinates"":[-122.489992581,37.743048992],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-07T10:47:32.000","2","5","202309076077","R-3","2023-09-08T04:14:49.000","legalize rental unit on first floor.per oridinance 43-14.","Y","","Ottawa","11","Av","","008","","2023-09-07T10:47:32.000","","","2","","7046A","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Mission","R-3","additions alterations or repairs","2023-09-07T11:08:32.000","3","2023-09-07T00:00:00.000","94112","1677730219030","wood frame (5)","","N","25000","201","1 family dwelling","1","{""coordinates"":[-122.447226038,37.716246063],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T11:56:21.000","1","5","202309076082","R-3","2023-09-08T04:14:49.000","kitchen remodel- not related to unpermitted kitchen as per nov# 202312286","Y","24663","Teresita","7","Bl","","025","","2023-09-07T11:17:00.000","","2023-09-07T11:56:21.000","0","","3000B","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T11:52:11.000","8","2023-09-07T00:00:00.000","94131","1677736149537","wood frame (5)","","N","15000","643","1 family dwelling","1","{""coordinates"":[-122.445440551,37.736666441],""type"":""Point""}","","issued","wood frame (5)"
"apartments","3","2023-09-07T15:15:25.000","30","3","202309076133","R-2,M","2023-09-08T04:14:49.000","unit #304: convert (e) kitchen to bedroom. relocate kitchen. rehabilitate (e) bathroom. install washer & dryer.","Y","88000","Ofarrell","5","St","","030","","2023-09-07T15:15:25.000","","","2","","0321","in-house","parcel_centroid","","7","7","2023-09-07T23:55:00.000","Tenderloin","R-2,M","otc alterations permit","2023-09-07T15:46:29.000","8","2023-09-07T00:00:00.000","94109","167779569496","constr type 3","","N","77000","781","apartments","30","{""coordinates"":[-122.417509773,37.785000688],""type"":""Point""}","","filed","constr type 3"
"apartments","5","2023-09-07T13:28:16.000","7","5","202309076093","R-2","2023-09-08T04:14:49.000","unit 2: remodel existing full bathroom in kind. no change to floor layout. no wall layout change. no structural work.","Y","20550","Carl","8","St","","013","","2023-09-07T12:06:12.000","","2023-09-07T13:28:16.000","0","","1267","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-09-07T13:16:55.000","8","2023-09-07T00:00:00.000","94117","1677747491340","wood frame (5)","","N","12000","122","apartments","7","{""coordinates"":[-122.450774573,37.765982749],""type"":""Point""}","","issued","wood frame (5)"
"apartments","1","2023-09-07T09:41:06.000","221","1","202309076055","R-2,S-2","2023-09-08T04:14:49.000","as-builts resubmittal, ref pa# 202303314787, per sffd addition of 54 devices added and total by sffd/sfed inspctors.","Y","39000","Broadway","2","","","024","","2023-09-07T08:50:37.000","Y","2023-09-07T09:41:06.000","2","","0566","in-house","parcel_centroid","","12","12","2023-09-07T23:55:00.000","Pacific Heights","R-2,S-2","otc alterations permit","2023-09-07T09:39:54.000","8","2023-09-07T00:00:00.000","94123","1677709235446","constr type 1","","N","10000","2000","apartments","221","{""coordinates"":[-122.430410767,37.795191301],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","5","2023-09-07T08:34:07.000","2","5","202309076052","R-3","2023-09-08T04:14:49.000","revision to pa# 202307031376; to provide voluntary strengthening to the (e) structure","Y","0","Mississippi","10","St","","035","","2023-09-07T08:34:07.000","","","2","","4103","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Potrero Hill","R-3","otc alterations permit","2023-09-07T09:05:38.000","8","2023-09-07T00:00:00.000","94107","1677705170794","wood frame (5)","","N","2500","615","2 family dwelling","2","{""coordinates"":[-122.393904073,37.758742667],""type"":""Point""}","","filed","wood frame (5)"
"apartments","3","2023-09-07T08:47:16.000","4","3","202309076038","R-2","2023-09-08T04:14:49.000","maintence of existing exterior walls, stucco, waterproof, roof maintenance all repairs to be done same in kind of existing. not street visible.","","35000","Seal Cove","10","Tr","","643","","2023-09-07T07:47:10.000","","2023-09-07T08:47:16.000","0","","4991","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Bayview Hunters Point","R-2","otc alterations permit","2023-09-07T08:39:16.000","8","2023-09-07T00:00:00.000","94134","1677690482829","constr type 3","0","N","35000","107","apartments","4","{""coordinates"":[-122.394721408,37.711804727],""type"":""Point""}","","issued","constr type 3"
"2 family dwelling","5","2023-09-07T11:08:38.000","2","5","202309076046","R-3","2023-09-08T04:14:49.000","sprinkler monitoring fire alarm system, ref pa# 202211045882","Y","5050","Leavenworth","3","St","","019","","2023-09-07T08:16:09.000","Y","2023-09-07T11:08:38.000","2","","0093","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Russian Hill","R-3","otc alterations permit","2023-09-07T11:08:30.000","8","2023-09-07T00:00:00.000","94133","1677699348441","wood frame (5)","","N","5050","2108","2 family dwelling","2","{""coordinates"":[-122.417362498,37.800568704],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T12:45:47.000","1","5","202309076067","R-3","2023-09-08T04:14:49.000","renovation kitchen and bath - relocating bath to other side of kitchen to open space. will be removing bath wall. will be adhering to all ca codes and upgrading elecrical and plumbing to meet energy efficent standards.","Y","75775","Sacramento","2","St","","028","","2023-09-07T10:00:15.000","","2023-09-07T12:45:47.000","2","","0634","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Pacific Heights","R-3","otc alterations permit","2023-09-07T12:27:54.000","8","2023-09-07T00:00:00.000","94115","167772177117","wood frame (5)","","N","37000","2603","1 family dwelling","1","{""coordinates"":[-122.435838976,37.789408962],""type"":""Point""}","","issued","wood frame (5)"
"retail sales","1","2023-09-07T09:35:06.000","","1","202309076060","M,B,A-2","2023-09-08T04:14:49.000","11/f: add 3 smoke detectors and replace 6 heat detectors in the elevator machine room on flr 11; no change to existing elevator recall/shunt trip functions, no ref pa#.","Y","6484","Ofarrell","3","St","","004","","2023-09-07T09:00:40.000","Y","2023-09-07T09:35:06.000","2","","0314","in-house","parcel_centroid","","11","11","2023-09-07T23:55:00.000","Financial District/South Beach","M,B,A-2","otc alterations permit","2023-09-07T09:30:33.000","8","2023-09-07T00:00:00.000","94102","167771469348","constr type 1","","N","6480","170","retail sales","","{""coordinates"":[-122.407363458,37.786795914],""type"":""Point""}","","issued","constr type 1"
"1 family dwelling","5","2023-09-07T13:16:35.000","1","5","202309076083","R-3","2023-09-08T04:14:49.000","revision to permit 202208090182. change deck to cantilever deck.","Y","18000","Portola","7","Dr","","013","","2023-09-07T11:21:37.000","","2023-09-07T13:16:35.000","2","","2989B","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T13:09:47.000","8","2023-09-07T00:00:00.000","94127","1677737149103","wood frame (5)","","N","3800","1476","1 family dwelling","1","{""coordinates"":[-122.468026123,37.738033841],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T14:04:00.000","1","5","202309076111","R-3","2023-09-08T04:14:49.000","to comply with boa's decision no. 22-075. ref to pa# 202206065684: show party wall as part of scope of work & add sheets a-111 & a-112","Y","1","Pine","5","St","","020","","2023-09-07T12:57:16.000","","2023-09-07T14:04:00.000","2","","0664","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Pacific Heights","R-3","otc alterations permit","2023-09-07T13:59:15.000","8","2023-09-07T00:00:00.000","94109","167776678257","wood frame (5)","","N","1","1863","1 family dwelling","1","{""coordinates"":[-122.426453676,37.78868005],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-09-07T08:14:42.000","","1","202309076039","B","2023-09-08T04:14:49.000","voluntary elevator modernizatyion per sffd letter. remove 23 existing fire sprinklers in elevator pits only. no other work to system.","Y","5000","California","3","St","","022","","2023-09-07T07:51:59.000","Y","2023-09-07T08:14:42.000","2","","0235","in-house","parcel_centroid","","38","38","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-09-07T08:09:54.000","8","2023-09-07T00:00:00.000","94111","167769163364","constr type 1","","N","5000","50","office","","{""coordinates"":[-122.397347692,37.794053198],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","5","2023-09-07T12:47:45.000","2","5","202309076108","R-3","2023-09-08T04:14:49.000","replace approx 60'0"" of brick foundation with reinforced concrete.","Y","0","Divisadero","5","St","","018","","2023-09-07T12:47:45.000","","","2","","1239","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Haight Ashbury","R-3","otc alterations permit","2023-09-07T12:48:19.000","8","2023-09-07T00:00:00.000","94117","1677763240852","wood frame (5)","","N","20000","204","2 family dwelling","2","{""coordinates"":[-122.436570201,37.770574902],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-07T10:22:03.000","2","5","202309076071","R-3","2023-09-08T04:14:49.000","voluntary seismic improvements to base soft story for 2-unit bldg per chapter 34b of sf bldg code per iebc appendix a4","Y","0","Hemway","1","Tr","","024","","2023-09-07T10:22:03.000","","","2","","1173","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Lone Mountain/USF","R-3","otc alterations permit","2023-09-07T10:25:25.000","8","2023-09-07T00:00:00.000","94117","1677724254444","wood frame (5)","","N","45000","48","2 family dwelling","2","{""coordinates"":[-122.44809807,37.776408795],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T09:04:25.000","15","5","202309076050","R-2","2023-09-08T04:14:49.000","upgrade existing fire alarm system by replacing it with 1-addressible fire alarm unit 1-wireless communicator next to facu 9- addressible smoke detectors, 4-addressible manul pull station, 7-horn strobes, 30-low frequency horns at all residential sleeping areas to comple w/sffc section 1103.7.6.1","Y","47600","09th","1","Av","","032","","2023-09-07T08:29:07.000","Y","2023-09-07T09:04:25.000","2","","1368","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Inner Richmond","R-2","otc alterations permit","2023-09-07T08:58:59.000","8","2023-09-07T00:00:00.000","94118","1677703241837","wood frame (5)","","N","19000","156","apartments","15","{""coordinates"":[-122.467491482,37.785474002],""type"":""Point""}","","issued","wood frame (5)"
"apartments","1","2023-09-07T09:13:42.000","164","1","202309076061","R-2","2023-09-08T04:14:49.000","vehicle and pedestrian gate at front (geary st)","Y","0","Geary","5","St","","021","","2023-09-07T09:13:42.000","","","2","","0318","in-house","parcel_centroid","","14","14","2023-09-07T23:55:00.000","Tenderloin","R-2","otc alterations permit","2023-09-07T09:27:48.000","8","2023-09-07T00:00:00.000","94102","167771569429","constr type 1","","N","48000","639","apartments","164","{""coordinates"":[-122.413824639,37.786359634],""type"":""Point""}","","filed","constr type 1"
"apartments","5","2023-09-07T15:09:36.000","8","5","202309076116","R-2","2023-09-08T04:14:49.000","unit #7: replace kitchen cabinets with new (10 x 14). install new counter tops and flooring in kitchen. install new tiles on bathroom walls and floor. no structural work. no wall modifications. no change in fixture location.","Y","41104","Elizabeth","8","St","","016","","2023-09-07T13:48:48.000","","2023-09-07T15:09:36.000","0","","3653","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Noe Valley","R-2","otc alterations permit","2023-09-07T15:02:38.000","8","2023-09-07T00:00:00.000","94114","1677772164124","wood frame (5)","","N","30000","442","apartments","8","{""coordinates"":[-122.430809279,37.752539425],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","5","2023-09-07T12:37:00.000","4","5","202309076105","B,R-2","2023-09-08T04:14:49.000","convert vacant office (b occupancy) to sandwich shop (b occupancy). provide new flooring, ceiling and lighting. add missing handril at ramp. change of use.","Y","0","Irving","7","St","","025","","2023-09-07T12:37:00.000","","","2","","1739","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Inner Sunset","B,R-2","otc alterations permit","2023-09-07T13:07:00.000","8","2023-09-07T00:00:00.000","94122","1677760451396","wood frame (5)","","N","75500","1046","office","4","{""coordinates"":[-122.469219862,37.764159431],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T12:21:23.000","1","5","202309076079","R-3","2023-09-08T04:14:49.000","remove existing bathtub and replace with a new walk in tub of same or less weight. hook up to existing plumbing. add a gfi circuit 20 amps. no other changes. no change to wall layout. no change to floor layout. no structural work.","Y","19000","Pacific","2","Av","","013","","2023-09-07T11:02:04.000","","2023-09-07T12:21:23.000","0","","0971","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Presidio Heights","R-3","otc alterations permit","2023-09-07T12:12:02.000","8","2023-09-07T00:00:00.000","94118","167773285584","wood frame (5)","","N","19000","3477","1 family dwelling","1","{""coordinates"":[-122.45219736,37.790831736],""type"":""Point""}","","issued","wood frame (5)"
"apartments","3","2023-09-07T08:47:16.000","4","3","202309076038","R-2","2023-09-08T04:14:49.000","maintence of existing exterior walls, stucco, waterproof, roof maintenance all repairs to be done same in kind of existing. not street visible.","Y","35000","Seal Cove","10","Tr","","640","","2023-09-07T07:47:10.000","","2023-09-07T08:47:16.000","0","","4991","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Bayview Hunters Point","R-2","otc alterations permit","2023-09-07T08:39:16.000","8","2023-09-07T00:00:00.000","94134","1677689482826","constr type 3","0","N","35000","101","apartments","4","{""coordinates"":[-122.394721408,37.711804727],""type"":""Point""}","","issued","constr type 3"
"1 family dwelling","5","2023-09-07T12:16:12.000","1","5","202309076098","R-3","2023-09-08T04:14:49.000","2nd fl: replace kitchen cabinets & counters (no fixture count change)","Y","0","36th","4","Av","","024","","2023-09-07T12:16:12.000","","","2","","2504A","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T12:19:01.000","8","2023-09-07T00:00:00.000","94116","1677751138105","wood frame (5)","","N","12000","2720","1 family dwelling","1","{""coordinates"":[-122.49319761,37.736295524],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-07T09:10:36.000","2","5","202309076044","R-3","2023-09-08T04:14:49.000","reroofing","","25800","Taraval","4","St","","037","","2023-09-07T08:09:17.000","","2023-09-07T09:10:36.000","0","","2401","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T08:58:52.000","8","2023-09-07T00:00:00.000","94116","1677697453033","wood frame (5)","","N","25800","1447","2 family dwelling","2","{""coordinates"":[-122.4818267,37.742532697],""type"":""Point""}","","issued","wood frame (5)"
"office","3","2023-09-07T14:45:45.000","","3","202309076131","B,S-2","2023-09-08T04:14:49.000","tenant improvement: new counseling room at ground floor. new doors adn interior windows at (e) second floor counseling rooms - no structural work.","Y","26700","03rd","10","St","","026","C","2023-09-07T14:45:45.000","","","2","","4881","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bayview Hunters Point","B,S-2","otc alterations permit","2023-09-07T15:38:27.000","8","2023-09-07T00:00:00.000","94124","1677789175769","constr type 3","","N","26700","5945","office","","{""coordinates"":[-122.39436172,37.724183568],""type"":""Point""}","","filed","constr type 3"
"office","1","2023-09-07T15:54:08.000","","1","202309076139","B","2023-09-08T04:14:49.000","altered lighting system. new power and data for workstations. new power for breakroom equipment. new lighting and controls.","Y","0","Sansome","3","St","","029","","2023-09-07T15:54:08.000","","","2","","0175","in-house","parcel_centroid","","5","5","2023-09-07T23:55:00.000","Chinatown","B","otc alterations permit","2023-09-07T15:58:10.000","8","2023-09-07T00:00:00.000","94133","167780061588","constr type 1","","N","1","755","office","","{""coordinates"":[-122.402357394,37.79729866],""type"":""Point""}","","filed","constr type 1"
"2 family dwelling","5","2023-09-07T15:45:35.000","2","5","202309076100","R-3","2023-09-08T04:14:49.000","replace 12 windows. new wood clad. full frame install.","Y","51000","Duncan","8","St","","059","","2023-09-07T12:23:49.000","","2023-09-07T15:45:35.000","0","","6604","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-09-07T15:23:50.000","8","2023-09-07T00:00:00.000","94131","1677755208962","wood frame (5)","","N","51000","609","2 family dwelling","2","{""coordinates"":[-122.433828703,37.745501442],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","3","2023-09-07T07:55:37.000","0","3","202309076041","B","2023-09-08T04:14:49.000","to comply with abe program ord 51-16. abe #202308318473. new power door equipment and new ada signage","Y","3500","Bush","3","St","","019","","2023-09-07T07:55:37.000","","","2","","0287","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-09-07T11:51:35.000","8","2023-09-07T00:00:00.000","94108","167769367016","constr type 3","","N","2500","453","food/beverage hndlng","0","{""coordinates"":[-122.405025309,37.790452395],""type"":""Point""}","","filed","constr type 3"
"2 family dwelling","5","2023-09-07T13:29:44.000","2","5","202309076096","R-3","2023-09-08T04:14:49.000","re-roofing","Y","18000","Church","8","St","","006","","2023-09-07T12:13:59.000","","2023-09-07T13:29:44.000","0","","6579","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-09-07T13:19:44.000","8","2023-09-07T00:00:00.000","94131","1677768208018","wood frame (5)","","N","18000","1474","2 family dwelling","2","{""coordinates"":[-122.42727526,37.747136243],""type"":""Point""}","","issued","wood frame (5)"
"retail sales","1","2023-09-07T12:14:17.000","0","1","202309076042","B,M,S-2","2023-09-08T04:14:49.000","relocate 6 pendent sprinklers, add 4 uprights and relocate 1 upright. relocate 3 pendent sprinklers on the 2nd fl. relocate 3 pendent sprinklers on the 4th fl. relocate 3 pendent sprinklers on the 5th fl. ti ref 202112204753.","Y","11875","Market","6","St","","240","","2023-09-07T08:02:36.000","Y","2023-09-07T12:14:17.000","2","","3704","in-house","parcel_centroid","","5","5","2023-09-07T23:55:00.000","South of Market","B,M,S-2","otc alterations permit","2023-09-07T12:07:36.000","8","2023-09-07T00:00:00.000","94103","1677694489538","constr type 1","","N","11875","945","retail sales","0","{""coordinates"":[-122.40883794,37.782834177],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","","2023-09-06T19:43:28.000","","","202309066033","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","11700","Pope","11","St","","008","","2023-09-06T19:41:07.000","","2023-09-06T19:43:28.000","0","","6466","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Excelsior","R-3","otc alterations permit","2023-09-06T19:41:07.000","8","2023-09-06T19:41:07.000","94112","1677683203901","","","N","11700","170","2 family dwelling","","{""coordinates"":[-122.441067543,37.712960953],""type"":""Point""}","","issued",""
"1 family dwelling","","2023-09-06T16:37:50.000","","","202309066031","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","10000","45th","4","Av","","001","","2023-09-06T16:35:00.000","","2023-09-06T16:37:50.000","0","","2172","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-06T16:35:01.000","8","2023-09-06T16:35:00.000","94116","1677681128498","","","N","10000","2101","1 family dwelling","","{""coordinates"":[-122.504226485,37.747257966],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-09-06T14:18:03.000","","","202309066012","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","25000","Prospect","9","Av","","044","","2023-09-06T14:17:23.000","","2023-09-06T14:18:03.000","0","","5611","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-09-06T14:17:23.000","8","2023-09-06T14:17:23.000","94110","1677662184712","","","N","25000","31","2 family dwelling","","{""coordinates"":[-122.417634031,37.744728617],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-09-06T14:14:18.000","","","202309066009","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","20000","Crescent","9","Av","","018","","2023-09-06T14:00:23.000","","2023-09-06T14:14:18.000","0","","5803","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-09-06T14:00:23.000","8","2023-09-06T14:00:23.000","94112","1677659514312","","","N","20000","26","2 family dwelling","","{""coordinates"":[-122.423640844,37.735100282],""type"":""Point""}","A","issued",""
"2 family dwelling","","2023-09-06T10:50:17.000","","","202309065975","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","12500","34th","4","Av","","029","","2023-09-06T10:49:41.000","","2023-09-06T10:50:17.000","0","","1910","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-06T10:49:41.000","8","2023-09-06T10:49:41.000","94122","1677620120026","","","N","12500","1690","2 family dwelling","","{""coordinates"":[-122.492428156,37.755624595],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-09-06T09:39:24.000","","","202309065958","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","12880","Jakey","10","Ct","","102","","2023-09-06T09:37:20.000","","2023-09-06T09:39:24.000","0","","4711","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Bayview Hunters Point","R-3","otc alterations permit","2023-09-06T09:37:20.000","8","2023-09-06T09:37:20.000","94124","1677598174320","","","N","12880","10","2 family dwelling","","{""coordinates"":[-122.384225426,37.734882281],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-09-06T09:13:48.000","","","202309065952","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","5600","Great","4","Hy","","002H","","2023-09-06T09:09:46.000","","2023-09-06T09:13:48.000","0","","2448","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-06T09:09:46.000","8","2023-09-06T09:09:46.000","94116","1677592136617","","","N","5600","2574","2 family dwelling","","{""coordinates"":[-122.506195825,37.73845863],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-09-06T15:39:06.000","2","5","202309065989","R-3,M","2023-09-08T04:14:49.000","installation of new (61) fire sprinkler head system at entire building. per nfpa 13 2022 + dedicated underground piping per nfpa 24 (trench, backfill & sidewalk repair by separate permit. ref pa# 201807205165.","Y","43900","Taraval","4","St","","012","","2023-09-06T11:41:44.000","Y","2023-09-06T15:39:06.000","2","","2355","in-house","parcel_centroid","","","3","2023-09-07T23:55:00.000","Sunset/Parkside","M","otc alterations permit","2023-09-06T15:36:59.000","8","2023-09-06T00:00:00.000","94116","1677634132350","wood frame (5)","","N","32000","1644","","","{""coordinates"":[-122.48400436,37.742932063],""type"":""Point""}","","issued",""
"2 family dwelling","5","2023-09-06T09:52:58.000","2","5","202309065960","R-3","2023-09-08T04:14:49.000","reroofing","Y","0","Vallejo","2","St","","017","","2023-09-06T09:52:58.000","","","0","","0558","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Marina","R-3","otc alterations permit","2023-09-06T11:42:49.000","8","2023-09-06T00:00:00.000","94123","167760274313","wood frame (5)","","N","23338","2368","2 family dwelling","2","{""coordinates"":[-122.436365982,37.795352347],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-06T13:21:57.000","2","5","202309066006","R-3","2023-09-08T04:14:49.000","revision to 202309055931. add a toilet to the exiting main bath and a sink to the powder room","Y","1","22nd","9","St","","017A","","2023-09-06T13:21:57.000","","","2","","3613","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","R-3","otc alterations permit","2023-09-07T13:50:36.000","8","2023-09-06T00:00:00.000","94110","1677653472973","wood frame (5)","","N","1","2952","2 family dwelling","2","{""coordinates"":[-122.413449447,37.755939859],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-06T12:35:29.000","2","5","202309065997","R-3","2023-09-08T04:14:49.000","response/to comply with nov #202306658. to memorialize a water heater and a furnace/wall heater installed without the benefit of a permit.","Y","","Alvarado","9","St","","022","","2023-09-06T12:35:29.000","","","2","","3634","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Mission","R-3","additions alterations or repairs","2023-09-06T12:57:30.000","3","2023-09-06T00:00:00.000","94110","1677643163298","wood frame (5)","","N","5000","41","2 family dwelling","2","{""coordinates"":[-122.422206583,37.7541786],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T08:11:19.000","4","5","202309066002","R-2","2023-09-08T04:14:49.000","repair dry rot damage in areas on front stairs.  no structural work noted.","Y","9000","Liberty","9","St","","111","","2023-09-06T12:59:15.000","","2023-09-07T08:11:19.000","0","","3608","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","R-2","otc alterations permit","2023-09-07T08:07:19.000","8","2023-09-06T00:00:00.000","94110","1677649493149","wood frame (5)","2","N","9000","49","apartments","4","{""coordinates"":[-122.422323299,37.757389664],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","3","2023-09-07T15:27:18.000","42","3","202309066013","M,R-1,B","2023-09-08T04:14:49.000","install 2 new awning with yellow fabric cover in front of restaurant on kearny st. each awning is 174""x48""x48""","Y","5500","Kearny","3","St","","002","","2023-09-06T14:20:55.000","","2023-09-07T15:27:18.000","2","","0177","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Chinatown","M,R-1,B","otc alterations permit","2023-09-07T15:22:07.000","8","2023-09-06T00:00:00.000","94133","1677663367254","constr type 3","","N","4000","919","food/beverage hndlng","42","{""coordinates"":[-122.40538391,37.796438797],""type"":""Point""}","","issued","constr type 3"
